date,pagepath,pagetitle,screenpageviews,bouncerate,engagementRate,userEngagementDuration,averageSessionDuration,userConversionRate:scroll
2023-03-07,/,체레미 마카 - 이브콘돔의 새로운 이름 | 이브젤·이브컵 증정이벤트 진행중,1464,0.24698795180722891,0.75301204819277112,9171,80.504903352409656,0.3741721854304636
2023-03-07,/product/list_thumb.html,콘돔 - 체레미 마카,709,0.95622895622895621,0.043771043771043773,7737,54.794347313131325,0.16666666666666666
2023-03-07,/member/login.html,로그인 - 체레미 마카,558,0.88380281690140849,0.11619718309859155,4030,51.055068387323935,0.94230769230769229
2023-03-07,/product/cheremimaka/517,[예약 판매]인티밋젤 백도어(130ml) - 이브콘돔 공식몰,399,0.069252077562326875,0.93074792243767313,4013,91.831034180055411,0.29090909090909089
2023-03-07,/order/basket.html,장바구니 - 체레미 마카,340,0.948905109489051,0.051094890510948905,2515,33.395492496350371,0.29166666666666669
2023-03-07,/order/orderform.html,체레미 마카 - 이브콘돔의 새로운 이름 | 이브젤·이브컵 증정이벤트 진행중,301,0.97701149425287359,0.022988505747126436,12495,120.23494902873564,0.92261904761904767
2023-03-07,/product/%EC%9D%B4%EB%B8%8C%EC%BD%98%EB%8F%94-%EB%A6%AC%EC%96%BC-0035/286/category/83/display/1/,이브콘돔 리얼 0.035(10p),239,0.93181818181818177,0.068181818181818177,5540,87.821216375,0.28742514970059879
2023-03-07,/product/list_thumb.html,젤 - 체레미 마카,220,0.97368421052631582,0.026315789473684209,2011,70.856628728070177,0.093457943925233641
2023-03-07,/product/%EC%98%88%EC%95%BD-%ED%8C%90%EB%A7%A4%EC%9D%B8%ED%8B%B0%EB%B0%8B%EC%A0%A4-%EB%B0%B1%EB%8F%84%EC%96%B4130ml/517/category/85/display/1/,[예약 판매]인티밋젤 백도어(130ml) - 이브콘돔 공식몰,202,0.91538461538461535,0.08461538461538462,3912,68.944639130769232,0.40677966101694918
2023-03-07,/article/blog/8/15262/page/1/,오럴섹스 잘 하는 방법 알려주세요!! (커널링구스 편),201,0.25,0.75,495,174.97258375,0
